Convalesce  v. (-cing) recover health after illness. [latin valeo be well]
No2  -adv. 1 indicating that the answer to the question is negative, the statement etc. Made or course of action intended or conclusion arrived at is not correct or satisfactory, the request or command will not be complied with, or the negative statement made is correct. 2 (foll. By compar.) By no amount; not at all (no better than before). -n. (pl. Noes) 1 utterance of the word no. 2 denial or refusal. 3 ‘no’ vote.  no longer not now or henceforth as formerly. Or no or not (pleasant or no, it is true). [old english]
Creation  n. 1 creating or being created. 2 a (usu. The creation) god's creating of the universe. B (usu. Creation) all created things, the universe. 3 product of the imagination, art, fashion, etc.
Finalize  v. (also -ise) (-zing or -sing) put into final form; complete.  finalization n.
Silvan  var. Of *sylvan.
Hornbeam  n. Tree with a hard tough wood.
Service flat  n. Flat in which domestic service and sometimes meals are provided for an extra fee.
Pipsqueak  n. Colloq. Insignificant or contemptible person or thing. [imitative]
Headset  n. Headphones, often with a microphone attached.
Chock-a-block  predic. Adj. (often foll. By with) crammed together or full.
Scuffle  -n. Confused struggle or fight at close quarters. -v. (-ling) engage in a scuffle. [probably scandinavian: related to *shove]
Head in the sand  n. Refusal to acknowledge danger or difficulty.
Ponder  v. 1 think over; consider. 2 muse, be deep in thought. [latin pondero weigh]
Pigswill  n. Kitchen refuse and scraps fed to pigs.
Stupid  adj. (stupider, stupidest) 1 unintelligent, foolish (a stupid fellow). 2 typical of stupid persons (stupid mistake). 3 uninteresting, boring. 4 in a stupor.  stupidity n. (pl. -ies). Stupidly adv. [latin: related to *stupendous]
Latitude  n. 1 a angular distance on a meridian north or south of the equator. B (usu. In pl.) Regions or climes. 2 tolerated variety of action or opinion.  latitudinal adj. [latin latus broad]
Te  n. (also ti) seventh note of a major scale. [earlier si: french from italian]
Bumpkin  n. Rustic or socially inept person. [dutch]
Gippy tummy  n. Colloq. Diarrhoea affecting visitors to hot countries. [from *egyptian]
Knowing  adj. 1 suggesting that one has inside information (a knowing look). 2 showing knowledge; shrewd.
Aquarium  n. (pl. -s) tank of water for keeping and showing fish etc. [latin aquarius of water]
Outmatch  v. Be more than a match for.
Musical box  n. Box containing a mechanism which plays a tune.
Bible  n. 1 a (prec. By the) christian scriptures of old and new testaments. B (bible) copy of these. 2 (bible) colloq. Authoritative book.  biblical adj. [greek biblia books]
Oxf.  Abbr. Oxford.
Suc-  prefix assim. Form of *sub- before c.
Evanescent  adj. Quickly fading.  evanescence n.
Pavane  n. (also pavan) hist. 1 a kind of stately dance. 2 music for this. [french from spanish]
Carob  n. Seed pod of a mediterranean tree used as a chocolate substitute. [arabic karruba]
Ryegrass  n. Forage or coarse lawn grass. [alteration of ray-grass]
Preheat  v. Heat beforehand.
Dinner  n. 1 main meal of the day, either at midday or in the evening. 2 (in full dinner-party) formal evening meal, esp. With guests. [french: related to *dine]
Exacerbate  v. (-ting) 1 make (pain etc.) Worse. 2 irritate (a person).  exacerbation n. [latin acerbus bitter]
Crew cut  n. Close-cropped hairstyle.
Spin bowler  n. Cricket bowler who imparts spin to a ball.
Doughnut  n. (us donut) small fried cake of sweetened dough.
Dresser2  n. 1 person who helps to dress actors or actresses. 2 surgeon's assistant in operations. 3 person who dresses in a specified way (snappy dresser).
Self-defeating  adj. (of an action etc.) Doomed to failure because of internal inconsistencies; achieving the opposite of what is intended.
Prize3  var. Of *prise.
Crossfire  n. 1 firing in two crossing directions simultaneously. 2 a attack or criticism from all sides. B combative exchange of views etc.
Infrequent  adj. Not frequent.  infrequently adv.
Ionosphere  n. Ionized region of the atmosphere above the stratosphere, reflecting radio waves.  ionospheric adj.
Metalwork  n. 1 art of working in metal. 2 metal objects collectively.  metalworker n.
Chase1  -v. (-sing) 1 run after; pursue. 2 (foll. By from, out of, to, etc.) Force to run away or flee. 3 a (foll. By after) hurry in pursuit of. B (foll. By round etc.) Colloq. Act or move about hurriedly. 4 (usu. Foll. By up) colloq. Pursue (a thing overdue). 5 colloq. A try to attain. B court persistently. -n. 1 pursuit. 2 unenclosed hunting-land. 3 (prec. By the) hunting, esp. As a sport. [latin capto: related to *catch]
Integrate  v. (-ting) 1 a combine (parts) into a whole. B complete by the addition of parts. 2 bring or come into equal membership of society, a school, etc. 3 desegregate, esp. Racially (a school etc.). 4 math. Find the integral of.  integration n.
Argon  n. Inert gaseous element. [greek argos idle]
Pancake  n. 1 thin flat cake of fried batter usu. Rolled up with a filling. 2 flat cake of make-up etc.
Dental  adj. 1 of the teeth or dentistry. 2 (of a consonant) produced with the tongue-tip against the upper front teeth (as th) or the ridge of the teeth (as n, s, t). [latin dens dent- tooth]
Bothersome  adj. Causing bother.
Rind  n. Tough outer layer or covering of fruit and vegetables, cheese, bacon, etc. [old english]
Immoderate  adj. Excessive; lacking moderation.  immoderately adv.
Opp.  Abbr. Opposite.
Apex  n. (also apex) (often attrib.) System of reduced fares for scheduled flights. [advance purchase excursion]
Dotted line  n. Line of dots on a document etc., esp. For writing a signature on.
Heavier-than-air  attrib. Adj. (of an aircraft) weighing more than the air it displaces.
Reappoint  v. Appoint to a position previously held.  reappointment n.
Associate  -v. (-ting) 1 connect mentally (associate holly with christmas). 2 join or combine, esp. For a common purpose. 3 refl. Declare oneself or be in agreement. 4 (usu. Foll. By with) meet frequently or deal. -n. 1 partner, colleague. 2 friend, companion. 3 subordinate member of a society etc. -adj. 1 joined or allied. 2 of lower status (associate member).  associative adj. [latin socius allied]
Limelight  n. 1 intense white light used formerly in theatres. 2 (prec. By the) the glare of publicity.
Research and development  n. Work directed towards the innovation, introduction, and improvement of products and processes.
Plucky  adj. (-ier, -iest) brave, spirited.  pluckily adv. Pluckiness n.
Heir apparent  n. Heir whose claim cannot be set aside by the birth of another heir.
Progesterone  n. A steroid hormone which stimulates the preparation of the uterus for pregnancy and maintains the uterus in the event of fertilization. [german: related to *pro-1, *gestation]
Furthermore  adv. In addition, besides.
Basket  n. 1 container made of interwoven cane, reed, wire, etc. 2 amount held by this. 3 the goal in basketball, or a goal scored. 4 econ. Group or range (of currencies). [french]
Nymph  n. 1 mythological semi-divine spirit regarded as a maiden and associated with an aspect of nature, esp. Rivers and woods. 2 poet. Beautiful young woman. 3 immature form of some insects. [greek numphe nymph, bride]
Contretemps  n. (pl. Same) 1 unfortunate occurrence. 2 unexpected mishap. [french]
Police dog  n. Dog, esp. An alsatian, used in police work.
Poppet  n. Colloq. (esp. As a term of endearment) small or dainty person. [latin pup(p)a doll]
General meeting  n. Meeting open to all the members of a society etc.
Jail  (also gaol) -n. 1 place for the detention of prisoners. 2 confinement in a jail. -v. Put in jail. [french jaiole, ultimately from latin cavea cage]
Bad books  see *book.
Electrocute  v. (-ting) kill by electric shock.  electrocution n. [from *electro-, after execute]
Birthday  n. 1 day on which one was born. 2 anniversary of this.
Glove compartment  n. Recess for small articles in the dashboard of a car etc.
Mediocrity  n. (pl. -ies) 1 being mediocre. 2 mediocre person.
Constraint  n. 1 constraining or being constrained. 2 restriction. 3 self-control.
Subtend  v. (of a line) be opposite (an angle or arc). [latin: related to *tend1]
Flightless  adj. (of a bird etc.) Unable to fly.
Eunuch  n. Castrated man, esp. One formerly employed at an oriental harem or court. [greek, = bedchamber attendant]
Baking-powder  n. Mixture of sodium bicarbonate, cream of tartar, etc., as a raising agent.
Refined  adj. Polished, elegant, cultured.
Rumble  -v. (-ling) 1 make a continuous deep resonant sound as of distant thunder. 2 (foll. By along, by, past, etc.) (esp. Of a vehicle) move with a rumbling noise. 3 (often absol.) Slang find out the esp. Discreditable truth about. -n. Rumbling sound. [probably dutch rommelen]
Picky  adj. (-ier, -iest) colloq. Excessively fastidious.
Microwave  -n. 1 electromagnetic wave with a wavelength in the range 0.001–0.3m. 2 (in full microwave oven) oven using microwaves to cook or heat food quickly. -v. (-ving) cook in a microwave oven.
Sports coat  n. (also sports jacket) man's informal jacket.
Erm  abbr. Exchange rate mechanism.
Consumerism  n. 1 protection of consumers' interests. 2 (often derog.) Continual increase in the consumption of goods.  consumerist adj.
Hellene  n. 1 native of modern greece. 2 ancient greek.  hellenic adj. [greek]
Re-count  -v. Count again. -n. Re-counting, esp. Of votes in an election.
Leap year  n. Year with 366 days (including 29th feb. As an intercalary day).
Mercantile  adj. 1 of trade, trading. 2 commercial. [latin: related to *merchant]
Cod-liver oil  n. Oil from cod livers, rich in vitamins d and a.
Hobnob  v. (-bb-) (usu. Foll. By with) mix socially or informally. [hab nab have or not have]
Emanate  v. (-ting) (usu. Foll. By from) issue or originate (from a source).  emanation n. [latin mano flow]
Self-worth  n. = *self-esteem.
Annexe  n. 1 separate or added building. 2 addition to a document.
Logging  n. Work of cutting and preparing forest timber.
Bucket-shop  n. 1 unregistered broking agency. 2 colloq. Travel agency specializing in cheap air tickets.
Fortress  n. Fortified building or town. [latin fortis strong]
La  abbr. Los angeles.
Septuagenarian  n. Person from 70 to 79 years old. [latin -arius from septuaginta seventy]
Germano-  comb. Form german.
Shred  -n. 1 scrap or fragment. 2 least amount (not a shred of evidence). -v. (-dd-) tear or cut into shreds.  shredder n. [old english]
Ruction  n. Colloq. 1 disturbance or tumult. 2 (in pl.) Row, heated arguments. [origin unknown]
I1  n. (also i) (pl. Is or i's) 1 ninth letter of the alphabet. 2 (as a roman numeral) 1.
Agave  n. Plant with rosettes of narrow spiny leaves and flowers on tall stem. [agave, name of a woman in greek mythology]
Milksop  n. Weak or timid man or youth.
Farthingale  n. Hist. Hooped petticoat. [spanish verdugo rod]
Generation gap  n. Differences of outlook between different generations.
Exterminate  v. (-ting) destroy utterly (esp. A living thing).  extermination n. Exterminator n. [latin: related to *terminal]
Body stocking  n. Woman's undergarment covering the torso.
Heavy industry  n. Industry producing metal, machinery, etc.
Southern cross  n. Southern constellation in the shape of a cross.
Burgeon  v. Literary grow rapidly; flourish. [latin burra wool]
Sdi  abbr. Strategic defence initiative.
Seafarer  n. 1 sailor. 2 traveller by sea.  seafaring adj. & n.
Eventing  n. Participation in equestrian competitions, esp. Dressage and showjumping. [see *event 3]
Demand feeding  n. Feeding a baby when it cries.
Inexcusable  adj. That cannot be excused or justified.  inexcusably adv.
Solstice  n. Either of the times when the sun is furthest from the equator. [latin solstitium ‘the sun standing still’]
Fearsome  adj. Frightening.  fearsomely adv.
Grim  adj. (grimmer, grimmest) 1 of stern or forbidding appearance. 2 harsh, merciless. 3 ghastly, joyless (has a grim truth in it). 4 unpleasant, unattractive.  grimly adv. Grimness n. [old english]
Predicament  n. Difficult or unpleasant situation. [latin: related to *predicate]
Acrimonious  adj. Bitter in manner or temper.  acrimony n.
Hnd  abbr. Higher national diploma.
Spectrum  n. (pl. -tra) 1 band of colours as seen in a rainbow etc. 2 entire or wide range of a subject, emotion, etc. 3 distribution of electromagnetic radiation in which the parts are arranged according to wavelength. [latin specio look]
Cuff1  n. 1 end part of a sleeve. 2 us trouser turn-up. 3 (in pl.) Colloq. Handcuffs.  off the cuff colloq. Without preparation, extempore. [origin unknown]
